3202,2022-03-04,Kec. Parakansalak Ds. Bojong Longok Kec. Warung Kiara Ds. Girijaya,SUKABUMI,JAWA BARAT,,,,1,,0
7105,2022-03-04,Kec. Tareran Desa Koreng   Desa Kaneyan Desa Tumaluntung Raya Desa Rumoong Kec. Suluun Tareran Desa Pinapalangkow. Jaga III,MINAHASA SELATAN,SULAWESI UTARA,,,,0,,0
1604,2022-03-04,Kec. Lahat Ds. Kota baru,LAHAT,SUMATERA SELATAN,,,,1,,0
3201,2022-03-06,Kec. Megamendung  Ds. Sukamahi,BOGOR,JAWA BARAT,,,,1,,0
1211,2022-03-07,Kec. Kabanjahe  Kel. Gung Negri,KARO,SUMATERA UTARA,,,,4,,0
3203,2022-03-07,Kec. Situraja Ds. Cijeler,CIANJUR,JAWA BARAT,,,,1,,0
3211,2022-03-07,Kec. Cisitu Ds. Sunda Mekar Kec. Situraja Ds. Kadu Wulung,SUMEDANG,JAWA BARAT,,,,2,,0
3210,2022-03-08,Kec. Bantarujeg Ds. Silihwangi,MAJALENGKA,JAWA BARAT,,,,1,,0
3313,2022-03-08,Kab. Karanganyar Kec. Karang Pandan Kec. Ngargoyoso Kec. Jumantono Kec. Matesih Kec. Tawangmangu Kec. Jatiyoso Kec. Kerjo,KARANGANYAR,JAWA TENGAH,,,,68,,1
3217,2022-03-09,Kec. Batujajar Ds. Giriasih,BANDUNG BARAT,JAWA BARAT,,,1,1,,0
3202,2022-03-09,Kec. Cibadak Ds. Ciheulang Tonggoh Kec. Gegerbitung Ds. Caringin,SUKABUMI,JAWA BARAT,,,,1,,0
3573,2022-03-09,Kec. Blimbing Kel.  Polehan,KOTA MALANG,JAWA TIMUR,,,,1,,0
1113,2022-03-09,Kec. Puteri Betung Ds. Meloak,GAYO LUES,ACEH,,,,0,,1
3202,2022-03-09,Kec. Parakansalak Ds. Lebaksari Ds. Bojong Legok Ds. Sukakersa Ds. Sukatani Kec. Parungkuda Ds. Langensari Ds. Pondokkaso Landeuh Kec. Cidahu Ds. Tangkul Kec. Cibadak Ds. Cihideung Tonggoh Ds. Karangtengah Kec. Gegerbitung Ds. Caringin,SUKABUMI,JAWA BARAT,,,,2,,0
3202,2022-03-10,Kec. Ciemas Ds. Ciemas Kec. Cikembar Ds. Bojongkembar Kec. Gegerbitung Ds. Karangjaya,SUKABUMI,JAWA BARAT,,,,0,,0
3323,2022-03-10,Kec. Kaloran Ds. Getas,TEMANGGUNG,JAWA TENGAH,,,,0,,0
3505,2022-03-10,Kec. Kademangan Ds. Kebonsari,BLITAR,JAWA TIMUR,,,,5,,0
3314,2022-03-11,Kec. Kalijambe  Ds. Ngebung,SRAGEN,JAWA TENGAH,,,,2,,0
3308,2022-03-11,Kec. Grabag Ds. Citrosono,MAGELANG,JAWA TENGAH,,,,4,,0
3307,2022-03-12,Kec. Mojotengah Ds. Slukatan,WONOSOBO,JAWA TENGAH,,,,4,,0
7174,2022-03-12,Kec. Kotamobagu Barat  Kel. Malinow,KOTA KOTAMOBAGU,SULAWESI UTARA,,,,0,,0
